hh.id,herd.population,season,location ,type,herd.management,herd.water.dist,herd.move.type,village.lat,village.long,hh_seroprevalence
CN BL 01,39,wet,grassland.BL,grazing,herded,0,No,13.664482,-15.400396,75
CN BL 01,39,dry,swamp.BL,grazing,freerange,1,No,13.664482,-15.400396,75
CN BL 01,39,wet,pond.BL,water.source,herded,1,No,13.664482,-15.400396,75
CN BL 01,39,dry,swamp.BL,water.source,freerange,1,No,13.664482,-15.400396,75
CN BL 02,46,wet,grassland.BL,grazing,herded,0,No,13.664482,-15.400396,62.5
CN BL 02,46,dry,swamp.BL,grazing,herded,1,No,13.664482,-15.400396,62.5
CN BL 02,46,wet,pond.BL,water.source,herded,1,No,13.664482,-15.400396,62.5
CN BL 02,46,dry,swamp.BL,water.source,herded,1,No,13.664482,-15.400396,62.5
CN FY 01,87,wet,grassland.FY,grazing,herded,0,shortdist,13.5021849,-14.5374824,25
CN FY 01,87,dry,swamp.SuK,grazing,herded,2,shortdist,13.6171801,-14.9239875,25
CN FY 01,87,wet,pond.FY,water.source,herded,2,shortdist,13.5021849,-14.5374824,25
CN FY 01,87,dry,swamp.SuK,water.source,herded,2,shortdist,13.6171801,-14.9239875,25
CN FY 02,33,wet,grassland.FY,grazing,herded,0,No,13.5021849,-14.5374824,11.1
CN FY 02,33,dry,swamp.FY,grazing,herded,2,No,13.5021849,-14.5374824,11.1
CN FY 02,33,wet,pond.FY,water.source,herded,2,No,13.5021849,-14.5374824,11.1
CN FY 02,33,dry,swamp.FY,water.source,herded,2,No,13.5021849,-14.5374824,11.1
CN FY 03,26,wet,grassland.FY,grazing,herded,0,No,13.5021849,-14.5374824,25
CN FY 03,26,dry,swamp.FY,grazing,herded,2,No,13.5021849,-14.5374824,25
CN FY 03,26,wet,pond.FY,water.source,herded,2,No,13.5021849,-14.5374824,25
CN FY 03,26,dry,swamp.FY,water.source,herded,2,No,13.5021849,-14.5374824,25
CN JB 01,14,wet,grassland.JB,grazing,herded,0,shortdist,13.6118394,-14.8022918,0
CN JB 01,14,dry,swamp.PN,grazing,herded,1,shortdist,13.66987172,-14.86900679,0
CN JB 01,14,wet,pond.JB,water.source,herded,1,shortdist,13.6118394,-14.8022918,0
CN JB 01,14,dry,swamp.PN,water.source,herded,1,shortdist,13.66987172,-14.86900679,0
CN JB 02,17,wet,grassland.JB,grazing,herded,0,No,13.6118394,-14.8022918,37.5
CN JB 02,17,dry,swamp.JB,grazing,freerange,3,No,13.6118394,-14.8022918,37.5
CN JB 02,17,wet,pond.JB,water.source,herded,1,No,13.6118394,-14.8022918,37.5
CN JB 02,17,dry,swamp.JB,water.source,freerange,3,No,13.6118394,-14.8022918,37.5
CN JB 03,13,wet,grassland.JB,grazing,herded,0,No,13.6118394,-14.8022918,37.5
CN JB 03,13,dry,swamp.JB,grazing,herded,3,No,13.6118394,-14.8022918,37.5
CN JB 03,13,wet,pond.JB,water.source,herded,1,No,13.6118394,-14.8022918,37.5
CN JB 03,13,dry,swamp.JB,water.source,herded,1,No,13.6118394,-14.8022918,37.5
CN JK 02,46,wet,grassland.JKC,grazing,herded,0,shortdist,13.76307,-15.3376122,25
CN JK 02,46,dry,swamp.BtK,grazing,freerange,1,shortdist,13.696835,-15.207402,25
CN JK 02,46,wet,pond.JKC,water.source,herded,1,shortdist,13.76307,-15.3376122,25
CN JK 02,46,dry,swamp.BtK,water.source,freerange,1,shortdist,13.696835,-15.207402,25
CN JK 03,84,wet,grassland.JKC,grazing,herded,0,shortdist,13.76307,-15.3376122,37.5
CN JK 03,84,dry,swamp.BtK,grazing,herded,1,shortdist,13.696835,-15.207402,37.5
CN JK 03,84,wet,pond.JKC,water.source,herded,1,shortdist,13.76307,-15.3376122,37.5
CN JK 03,84,dry,swamp.BtK,water.source,herded,1,shortdist,13.696835,-15.207402,37.5
CN JK 06,43,wet,grassland.JKC,grazing,herded,0,shortdist,13.76307,-15.3376122,12.5
CN JK 06,43,dry,swamp.BtK,grazing,herded,1,shortdist,13.696835,-15.207402,12.5
CN JK 06,43,wet,pond.JKC,water.source,herded,1,shortdist,13.76307,-15.3376122,12.5
